,S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,CO2,PIR1,PIR2,Persons,DateTime,Crowded,Crowded_pred
176,20.69,22.94,20.17,312,488,160,650.0,1,0,2,11/01/2021 12:25:58,0,1
177,20.64,23.08,20.11,312,488,162,645.0,1,0,2,11/01/2021 12:26:29,0,1
178,20.6,23.08,20.04,314,488,164,650.0,0,0,2,11/01/2021 12:27:30,0,1
179,20.64,23.24,20.06,312,486,162,640.0,0,0,2,11/01/2021 12:28:01,0,1
180,20.68,23.27,20.17,314,488,162,640.0,1,0,2,11/01/2021 12:28:31,0,1
181,20.6,23.36,20.04,314,488,160,645.0,1,0,2,11/01/2021 12:29:02,0,1
182,20.59,23.45,20.17,312,488,160,645.0,0,0,2,11/01/2021 12:29:32,0,1
183,20.61,23.45,20.11,312,488,160,640.0,0,0,2,11/01/2021 12:30:03,0,1
184,20.62,23.49,20.15,312,486,160,645.0,0,0,2,11/01/2021 12:30:34,0,1
185,20.61,23.37,20.19,310,484,158,640.0,0,0,2,11/01/2021 12:31:04,0,1
186,20.68,23.31,20.17,310,484,156,645.0,0,0,2,11/01/2021 12:31:35,0,1
187,20.6,23.19,20.1,312,484,158,645.0,0,0,2,11/01/2021 12:32:06,0,1
188,20.67,23.39,20.13,312,488,162,640.0,1,0,2,11/01/2021 12:32:36,0,1
189,20.69,23.33,20.14,312,486,160,640.0,1,0,2,11/01/2021 12:33:07,0,1
190,20.65,23.31,20.17,310,484,380,645.0,1,0,2,11/01/2021 12:33:38,0,1
191,20.65,23.35,20.13,312,488,380,645.0,1,1,3,11/01/2021 12:34:08,1,1
192,20.65,23.51,20.16,316,490,410,650.0,1,1,3,11/01/2021 12:34:39,1,1
193,20.75,23.56,20.2,318,492,428,645.0,1,1,3,11/01/2021 12:35:09,1,1
194,20.7,23.55,20.21,318,492,440,655.0,1,1,3,11/01/2021 12:35:40,1,1
195,20.73,23.48,20.28,318,488,448,655.0,1,1,3,11/01/2021 12:36:11,1,1
196,20.69,23.44,20.22,318,494,448,660.0,1,1,3,11/01/2021 12:36:41,1,1
197,20.7,23.24,20.3,316,488,444,660.0,1,1,3,11/01/2021 12:37:12,1,1
198,20.68,23.5,20.21,316,488,434,655.0,1,1,3,11/01/2021 12:37:43,1,1
199,20.72,23.66,20.26,318,490,434,660.0,1,1,2,11/01/2021 12:38:13,0,1
200,20.65,23.6,20.21,318,490,432,665.0,1,0,2,11/01/2021 12:38:44,0,1
201,20.7,23.57,20.28,320,488,432,665.0,1,1,2,11/01/2021 12:39:14,0,1
202,20.79,23.73,20.21,320,488,446,670.0,1,1,3,11/01/2021 12:39:45,1,1
203,20.77,23.66,20.31,320,488,450,680.0,1,1,3,11/01/2021 12:40:16,1,1
204,20.81,23.86,20.26,320,488,448,675.0,1,1,3,11/01/2021 12:40:46,1,1
205,20.71,23.72,20.31,320,488,448,675.0,1,1,3,11/01/2021 12:41:17,1,1
206,20.71,23.71,20.31,320,486,430,675.0,1,1,3,11/01/2021 12:41:48,1,1
207,20.77,23.93,20.33,320,486,446,675.0,1,1,3,11/01/2021 12:42:18,1,1
208,20.8,23.85,20.24,320,486,444,685.0,1,1,3,11/01/2021 12:42:49,1,1
209,20.77,23.89,20.32,318,486,444,690.0,1,1,3,11/01/2021 12:43:20,1,1
210,20.79,23.92,20.34,318,486,448,690.0,1,1,3,11/01/2021 12:43:50,1,1
211,20.8,23.85,20.32,320,488,446,695.0,1,1,3,11/01/2021 12:44:21,1,1
212,20.72,23.89,20.32,320,488,446,695.0,1,1,3,11/01/2021 12:44:51,1,1
213,20.8,24.0,20.32,320,486,442,700.0,1,0,3,11/01/2021 12:45:22,1,1
214,20.74,23.85,20.34,318,492,442,695.0,1,1,3,11/01/2021 12:45:53,1,1
215,20.78,23.72,20.3,320,494,442,695.0,1,1,3,11/01/2021 12:46:23,1,1
216,20.94,23.14,20.43,326,498,458,810.0,1,1,3,11/01/2021 13:11:55,1,1
217,20.93,23.11,20.48,328,498,458,810.0,1,1,3,11/01/2021 13:12:26,1,1
218,20.87,23.08,20.41,326,498,456,810.0,1,1,3,11/01/2021 13:12:56,1,1
219,20.93,22.99,20.42,326,498,458,815.0,1,1,3,11/01/2021 13:13:27,1,1
220,20.89,23.11,20.4,326,496,458,815.0,1,1,3,11/01/2021 13:13:58,1,1
221,20.9,23.22,20.41,326,494,456,815.0,1,1,3,11/01/2021 13:14:28,1,1
222,20.93,23.2,20.45,324,494,456,815.0,1,1,3,11/01/2021 13:14:59,1,1
223,20.89,23.35,20.47,324,496,456,820.0,0,1,3,11/01/2021 13:15:30,1,1
224,20.87,23.12,20.45,324,494,456,835.0,1,0,3,11/01/2021 13:16:00,1,1
225,20.89,23.1,20.53,324,494,454,840.0,1,1,3,11/01/2021 13:16:31,1,1
226,20.85,23.23,20.5,324,498,454,840.0,1,1,3,11/01/2021 13:17:01,1,1
227,20.89,23.35,20.54,322,498,456,845.0,1,1,3,11/01/2021 13:17:32,1,1
228,20.86,23.17,20.55,324,498,456,845.0,1,1,3,11/01/2021 13:18:03,1,1
229,20.84,23.19,20.5,326,498,456,845.0,1,1,3,11/01/2021 13:18:33,1,1
230,20.84,23.06,20.55,324,492,454,845.0,1,0,3,11/01/2021 13:19:04,1,1
231,20.94,23.17,20.59,324,498,452,840.0,1,1,3,11/01/2021 13:19:35,1,1
232,20.85,23.0,20.62,326,500,452,840.0,1,1,3,11/01/2021 13:20:05,1,1
233,20.88,22.93,20.59,326,504,454,845.0,0,0,3,11/01/2021 13:20:36,1,1
234,21.0,22.9,20.54,328,502,456,850.0,1,1,3,11/01/2021 13:21:07,1,1
235,20.85,22.95,20.68,326,504,442,855.0,1,1,3,11/01/2021 13:21:37,1,1
236,20.91,22.91,20.64,328,504,450,850.0,1,1,3,11/01/2021 13:22:08,1,1
237,20.87,22.85,20.65,326,494,538,850.0,1,1,3,11/01/2021 13:23:09,1,1
238,20.92,22.71,20.63,326,498,534,845.0,0,1,3,11/01/2021 13:23:40,1,1
239,20.86,22.76,20.62,326,496,534,845.0,1,1,3,11/01/2021 13:24:10,1,1
240,20.85,22.74,20.67,326,502,532,850.0,1,1,3,11/01/2021 13:24:41,1,1
241,20.91,22.74,20.68,328,502,534,855.0,1,1,3,11/01/2021 13:25:12,1,1
242,20.97,22.7,20.65,326,504,534,855.0,1,1,3,11/01/2021 13:25:42,1,1
243,20.92,22.7,20.62,328,504,540,860.0,1,1,3,11/01/2021 13:26:13,1,1
244,20.93,22.88,20.71,328,506,522,855.0,0,1,3,11/01/2021 13:26:44,1,1
245,20.94,22.75,20.68,328,506,544,860.0,1,1,3,11/01/2021 13:27:14,1,1
246,20.98,22.72,20.75,330,508,548,860.0,1,1,3,11/01/2021 13:27:45,1,1
247,20.97,22.78,20.7,328,506,544,860.0,1,1,3,11/01/2021 13:28:15,1,1
248,20.99,22.85,20.67,330,508,544,860.0,1,1,3,11/01/2021 13:28:46,1,1
249,20.97,22.85,20.8,328,506,540,860.0,0,1,3,11/01/2021 13:29:17,1,1
250,20.95,22.86,20.77,328,504,536,865.0,0,0,3,11/01/2021 13:29:47,1,1
251,20.97,22.71,20.79,326,504,536,865.0,1,0,3,11/01/2021 13:30:18,1,1
252,20.9,22.78,20.8,328,504,536,865.0,1,0,3,11/01/2021 13:30:49,1,1
253,20.95,22.69,20.79,326,504,532,875.0,0,0,3,11/01/2021 13:31:19,1,1
254,20.96,22.63,20.78,326,504,534,880.0,0,0,3,11/01/2021 13:31:50,1,1
255,20.97,22.71,20.75,328,502,534,875.0,0,1,3,11/01/2021 13:32:20,1,1
256,20.93,22.66,20.73,324,494,508,880.0,1,1,3,11/01/2021 13:32:51,1,1
257,21.0,22.59,20.82,326,506,536,885.0,1,1,2,11/01/2021 13:33:22,0,1
258,21.0,22.54,20.78,328,506,538,885.0,1,1,2,11/01/2021 13:33:52,0,1
259,20.92,22.6,20.83,330,508,540,875.0,1,1,2,11/01/2021 13:34:23,0,1
260,21.02,22.5,20.87,330,508,544,870.0,0,1,2,11/01/2021 13:34:54,0,1
261,21.04,22.54,20.82,330,508,548,875.0,1,1,2,11/01/2021 13:35:55,0,1
262,20.91,22.49,20.87,330,508,560,870.0,1,1,2,11/01/2021 13:36:26,0,1
263,20.94,22.43,20.8,330,508,550,870.0,0,1,2,11/01/2021 13:36:56,0,1
264,20.94,22.3,20.85,330,508,550,870.0,1,1,2,11/01/2021 13:37:27,0,1
265,21.04,22.39,20.8,330,508,552,865.0,1,0,2,11/01/2021 13:37:57,0,1
266,21.05,22.4,20.79,330,508,552,870.0,1,1,2,11/01/2021 13:38:28,0,1
267,20.98,22.42,20.88,330,508,550,870.0,0,1,2,11/01/2021 13:38:59,0,1
268,20.99,22.36,20.87,330,508,556,865.0,0,1,2,11/01/2021 13:39:29,0,1
269,20.96,22.38,20.89,330,510,556,860.0,1,1,2,11/01/2021 13:40:00,0,1
270,21.0,22.34,20.9,330,508,556,840.0,1,1,2,11/01/2021 13:40:31,0,1
271,21.04,22.31,20.9,330,508,500,845.0,1,1,2,11/01/2021 13:41:01,0,1
272,20.97,22.27,20.91,330,508,550,850.0,0,1,2,11/01/2021 13:41:32,0,1
273,21.02,22.19,20.9,330,508,552,860.0,0,1,2,11/01/2021 13:42:03,0,1
274,21.01,22.23,20.87,328,494,558,865.0,1,1,3,11/01/2021 13:42:33,1,1
275,20.97,22.12,20.89,330,512,556,870.0,1,1,3,11/01/2021 13:43:04,1,1
276,21.04,22.18,20.79,330,508,556,870.0,1,1,3,11/01/2021 13:43:34,1,1
277,21.02,22.23,20.91,330,508,552,885.0,1,1,3,11/01/2021 13:44:05,1,1
278,20.98,22.16,20.91,330,514,558,890.0,1,1,2,11/01/2021 13:44:36,0,1
279,20.99,22.235,20.9,328,516,558,895.0,1,1,2,11/01/2021 13:45:06,0,1
280,20.96,22.31,20.88,330,512,558,895.0,1,1,3,11/01/2021 13:45:37,1,1
281,21.02,22.37,20.85,330,510,558,890.0,0,1,3,11/01/2021 13:46:08,1,1
282,21.0,22.32,20.85,330,512,554,890.0,1,1,3,11/01/2021 13:46:38,1,1
283,21.05,22.24,20.94,330,508,552,880.0,1,1,3,11/01/2021 13:47:09,1,1
284,21.0,22.26,20.88,330,508,554,880.0,1,1,3,11/01/2021 13:47:40,1,1
285,20.98,22.19,20.9,330,508,550,880.0,0,1,3,11/01/2021 13:48:10,1,1
286,20.99,22.19,20.91,328,508,552,875.0,0,1,3,11/01/2021 13:48:41,1,1
287,21.0,22.04,20.89,330,510,554,875.0,0,1,3,11/01/2021 13:49:11,1,1
288,21.07,21.96,20.91,328,510,556,875.0,0,0,3,11/01/2021 13:49:42,1,1
289,21.05,22.0,20.91,330,510,544,880.0,0,0,3,11/01/2021 13:50:13,1,1
290,20.98,21.97,20.91,330,510,558,880.0,1,1,3,11/01/2021 13:50:43,1,1
291,21.05,22.06,20.93,330,510,554,890.0,1,1,3,11/01/2021 13:51:14,1,1
292,21.05,21.9,20.91,328,510,554,900.0,1,1,3,11/01/2021 13:51:45,1,1
293,21.04,22.06,20.85,328,508,552,905.0,1,1,3,11/01/2021 13:52:15,1,1
294,21.0,22.07,20.86,328,508,550,910.0,0,1,3,11/01/2021 13:52:46,1,1
