S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,CO2,PIR1,PIR2,Persons,DateTime,PIR,MeanTemp,MeanLight
20.04,19.8,19.61,244,70,114,395.0,1,0,1,11/01/2021 11:02:14,1,19.816666666666666,142.66666666666666
19.98,19.8,19.55,246,70,116,395.0,1,0,1,11/01/2021 11:02:44,1,19.776666666666667,144.0
20.0,19.85,19.6,246,70,116,395.0,0,0,1,11/01/2021 11:03:15,0,19.816666666666666,144.0
20.1,19.82,19.54,246,70,116,390.0,0,0,1,11/01/2021 11:03:46,0,19.82,144.0
19.98,19.86,19.57,246,70,114,395.0,0,0,1,11/01/2021 11:04:16,0,19.803333333333335,143.33333333333334
20.12,19.82,19.56,246,70,116,395.0,0,0,1,11/01/2021 11:04:47,0,19.833333333333332,144.0
20.04,19.82,19.57,246,70,116,400.0,0,0,1,11/01/2021 11:05:18,0,19.81,144.0
20.07,19.83,19.6,248,70,118,400.0,0,0,1,11/01/2021 11:05:48,0,19.833333333333332,145.33333333333334
20.04,19.82,19.65,246,70,116,400.0,1,0,1,11/01/2021 11:06:19,1,19.836666666666666,144.0
20.08,19.88,19.66,246,70,118,405.0,1,0,1,11/01/2021 11:06:50,1,19.87333333333333,144.66666666666666
20.09,19.81,19.61,246,70,116,410.0,1,0,1,11/01/2021 11:07:20,1,19.836666666666666,144.0
20.1,19.8,19.62,246,70,116,410.0,1,0,1,11/01/2021 11:07:51,1,19.840000000000003,144.0
20.06,19.88,19.65,246,70,116,405.0,1,0,1,11/01/2021 11:08:21,1,19.863333333333333,144.0
20.12,19.85,19.62,246,70,116,405.0,0,0,1,11/01/2021 11:08:52,0,19.863333333333333,144.0
20.17,19.81,19.6,246,70,116,400.0,0,0,1,11/01/2021 11:09:23,0,19.860000000000003,144.0
20.1,19.83,19.69,246,70,116,410.0,1,0,1,11/01/2021 11:09:53,1,19.873333333333335,144.0
20.16,19.85,19.65,246,70,116,410.0,0,0,1,11/01/2021 11:10:24,0,19.886666666666667,144.0
20.12,19.83,19.67,244,70,118,405.0,0,0,1,11/01/2021 11:10:55,0,19.873333333333335,144.0
20.09,19.84,19.63,244,70,116,410.0,0,0,1,11/01/2021 11:11:25,0,19.853333333333335,143.33333333333334
20.18,19.83,19.6,246,70,114,410.0,0,0,1,11/01/2021 11:11:56,0,19.87,143.33333333333334
20.18,19.91,19.66,246,70,116,415.0,0,0,1,11/01/2021 11:12:27,0,19.916666666666668,144.0
20.14,19.86,19.63,246,70,116,420.0,0,0,1,11/01/2021 11:12:57,0,19.876666666666665,144.0
20.18,19.89,19.67,246,70,114,425.0,0,0,1,11/01/2021 11:13:28,0,19.913333333333334,143.33333333333334
20.15,19.88,19.74,246,70,114,425.0,0,0,1,11/01/2021 11:13:58,0,19.923333333333332,143.33333333333334
20.15,19.92,19.64,246,70,118,420.0,0,0,1,11/01/2021 11:14:29,0,19.903333333333332,144.66666666666666
20.12,19.92,19.72,246,72,118,420.0,0,0,1,11/01/2021 11:15:00,0,19.92,145.33333333333334
20.17,19.85,19.68,246,70,118,420.0,1,0,1,11/01/2021 11:15:30,1,19.900000000000002,144.66666666666666
20.12,19.85,19.69,246,70,118,420.0,0,0,1,11/01/2021 11:16:01,0,19.886666666666667,144.66666666666666
20.19,19.88,19.7,248,70,120,425.0,0,0,1,11/01/2021 11:16:32,0,19.923333333333332,146.0
20.18,19.84,19.72,248,72,122,430.0,0,0,1,11/01/2021 11:17:02,0,19.91333333333333,147.33333333333334
20.16,19.92,19.68,248,72,122,430.0,1,0,1,11/01/2021 11:17:33,1,19.919999999999998,147.33333333333334
20.21,19.89,19.73,248,72,122,435.0,0,0,1,11/01/2021 11:18:04,0,19.94333333333333,147.33333333333334
20.18,19.88,19.7,248,72,120,425.0,0,0,1,11/01/2021 11:18:34,0,19.92,146.66666666666666
20.23,19.85,19.71,246,70,118,425.0,0,0,1,11/01/2021 11:19:05,0,19.93,144.66666666666666
20.19,19.93,19.75,246,70,118,420.0,0,0,1,11/01/2021 11:19:35,0,19.956666666666667,144.66666666666666
20.18,19.87,19.7,248,72,120,420.0,1,0,1,11/01/2021 11:20:06,1,19.916666666666668,146.66666666666666
20.17,19.86,19.65,246,70,120,420.0,0,0,1,11/01/2021 11:20:37,0,19.893333333333334,145.33333333333334
20.21,19.86,19.65,246,70,120,435.0,0,0,1,11/01/2021 11:21:38,0,19.906666666666666,145.33333333333334
20.18,19.87,19.78,246,70,118,430.0,0,0,1,11/01/2021 11:22:09,0,19.94333333333333,144.66666666666666
20.17,19.85,19.72,246,70,120,445.0,0,0,1,11/01/2021 11:22:39,0,19.913333333333334,145.33333333333334
20.23,19.92,19.72,246,70,118,440.0,0,0,1,11/01/2021 11:23:10,0,19.956666666666667,144.66666666666666
20.23,19.96,19.77,246,70,118,440.0,0,0,1,11/01/2021 11:23:41,0,19.986666666666665,144.66666666666666
20.21,19.9,19.76,248,72,122,435.0,0,0,1,11/01/2021 11:24:11,0,19.956666666666667,147.33333333333334
20.15,19.95,19.78,248,72,124,430.0,1,0,1,11/01/2021 11:24:42,1,19.959999999999997,148.0
20.21,19.97,19.73,248,72,122,435.0,0,0,1,11/01/2021 11:25:12,0,19.97,147.33333333333334
20.19,19.94,19.76,246,72,120,440.0,1,0,1,11/01/2021 11:25:43,1,19.963333333333335,146.0
20.22,19.99,19.72,246,70,120,445.0,0,0,1,11/01/2021 11:26:14,0,19.976666666666663,145.33333333333334
20.25,19.95,19.73,246,70,120,445.0,0,0,1,11/01/2021 11:26:44,0,19.97666666666667,145.33333333333334
20.22,19.91,19.75,248,72,120,445.0,0,0,1,11/01/2021 11:27:15,0,19.959999999999997,146.66666666666666
20.22,19.97,19.74,248,70,120,445.0,0,0,1,11/01/2021 11:27:46,0,19.976666666666663,146.0
20.25,19.99,19.73,248,72,120,440.0,0,0,1,11/01/2021 11:28:16,0,19.99,146.66666666666666
20.24,19.92,19.78,248,72,126,440.0,0,0,1,11/01/2021 11:28:47,0,19.98,148.66666666666666
20.3,19.94,19.8,248,74,128,445.0,0,0,1,11/01/2021 11:29:17,0,20.013333333333335,150.0
20.26,19.99,19.74,248,74,130,445.0,1,0,1,11/01/2021 11:29:48,1,19.996666666666666,150.66666666666666
20.23,19.94,19.8,246,74,128,450.0,1,0,1,11/01/2021 11:30:19,1,19.99,149.33333333333334
20.26,20.22,19.87,246,62,122,450.0,1,1,1,11/01/2021 11:31:20,1,20.11666666666667,143.33333333333334
20.29,20.58,19.75,248,58,124,450.0,1,1,1,11/01/2021 11:31:51,1,20.206666666666667,143.33333333333334
20.3,20.43,19.73,300,374,126,450.0,1,1,2,11/01/2021 11:32:21,1,20.153333333333336,266.6666666666667
20.36,20.34,19.74,306,432,126,450.0,1,1,2,11/01/2021 11:32:52,1,20.146666666666665,288.0
20.29,20.4,19.81,310,468,126,450.0,1,1,2,11/01/2021 11:33:23,1,20.166666666666668,301.3333333333333
20.29,20.36,19.79,312,478,128,445.0,0,1,2,11/01/2021 11:33:53,1,20.146666666666665,306.0
20.33,20.3,19.73,314,482,134,445.0,0,1,2,11/01/2021 11:34:24,1,20.12,310.0
20.33,20.31,19.85,314,484,136,450.0,0,1,2,11/01/2021 11:34:54,1,20.163333333333334,311.3333333333333
20.34,20.4,19.76,314,484,138,450.0,0,1,2,11/01/2021 11:35:25,1,20.166666666666668,312.0
20.36,20.4,19.87,316,486,140,455.0,1,0,2,11/01/2021 11:35:56,1,20.209999999999997,314.0
20.29,20.41,19.74,314,484,134,455.0,1,0,2,11/01/2021 11:36:26,1,20.146666666666665,310.6666666666667
20.29,20.28,19.78,314,484,136,450.0,0,0,2,11/01/2021 11:36:57,0,20.116666666666667,311.3333333333333
20.35,20.38,19.8,314,482,136,450.0,1,0,2,11/01/2021 11:37:28,1,20.176666666666666,310.6666666666667
20.36,20.36,19.82,314,482,136,445.0,1,0,2,11/01/2021 11:37:58,1,20.18,310.6666666666667
20.29,20.35,19.82,314,480,138,450.0,1,0,2,11/01/2021 11:38:29,1,20.153333333333332,310.6666666666667
20.37,20.37,19.83,314,480,140,450.0,1,0,2,11/01/2021 11:39:00,1,20.19,311.3333333333333
20.41,20.32,19.83,314,478,140,450.0,1,0,2,11/01/2021 11:39:30,1,20.186666666666667,310.6666666666667
20.38,20.31,19.8,312,478,140,460.0,1,0,2,11/01/2021 11:40:01,1,20.16333333333333,310.0
20.34,20.43,19.82,314,478,140,460.0,0,0,2,11/01/2021 11:40:31,0,20.196666666666665,310.6666666666667
20.39,20.4,19.81,310,472,140,475.0,1,1,2,11/01/2021 11:43:05,1,20.2,307.3333333333333
20.41,20.47,19.81,310,472,136,480.0,1,1,2,11/01/2021 11:43:35,1,20.23,306.0
20.36,20.44,19.87,310,474,138,480.0,0,1,2,11/01/2021 11:44:06,1,20.223333333333333,307.3333333333333
20.43,20.52,19.84,310,472,138,485.0,1,1,2,11/01/2021 11:44:37,1,20.263333333333335,306.6666666666667
20.42,20.47,19.86,310,472,140,490.0,0,1,2,11/01/2021 11:45:07,1,20.25,307.3333333333333
20.42,20.54,19.92,310,474,142,500.0,1,1,2,11/01/2021 11:45:38,1,20.293333333333333,308.6666666666667
20.44,20.56,19.85,310,474,142,500.0,1,1,2,11/01/2021 11:46:08,1,20.283333333333335,308.6666666666667
20.41,20.53,19.88,310,470,144,500.0,0,0,2,11/01/2021 11:46:39,0,20.27333333333333,308.0
20.36,20.51,19.87,310,472,142,500.0,1,0,2,11/01/2021 11:47:10,1,20.24666666666667,308.0
20.39,20.5,19.88,310,470,142,510.0,1,1,2,11/01/2021 11:47:40,1,20.256666666666664,307.3333333333333
20.45,20.48,19.88,310,470,140,510.0,1,0,2,11/01/2021 11:48:11,1,20.27,306.6666666666667
20.45,20.46,19.91,310,468,140,515.0,0,0,2,11/01/2021 11:48:42,0,20.27333333333333,306.0
20.43,20.55,19.93,310,468,140,515.0,1,0,2,11/01/2021 11:49:12,1,20.303333333333335,306.0
20.41,20.57,19.91,310,470,142,515.0,0,0,2,11/01/2021 11:49:43,0,20.296666666666667,307.3333333333333
20.4,20.62,19.84,310,470,144,520.0,0,1,2,11/01/2021 11:50:14,1,20.286666666666665,308.0
20.45,20.54,19.9,310,470,142,525.0,1,1,2,11/01/2021 11:50:44,1,20.296666666666663,307.3333333333333
20.46,20.63,19.9,310,468,146,530.0,1,1,2,11/01/2021 11:51:15,1,20.330000000000002,308.0
20.46,20.54,19.89,310,468,144,540.0,1,1,2,11/01/2021 11:51:45,1,20.296666666666667,307.3333333333333
20.47,20.55,19.9,310,470,146,540.0,1,0,2,11/01/2021 11:52:16,1,20.306666666666665,308.6666666666667
20.47,20.54,19.94,310,468,146,545.0,1,0,2,11/01/2021 11:52:47,1,20.316666666666666,308.0
20.53,20.57,19.86,310,468,146,545.0,1,0,2,11/01/2021 11:53:17,1,20.32,308.0
20.49,20.6,19.92,310,468,148,545.0,0,0,2,11/01/2021 11:53:48,0,20.33666666666667,308.6666666666667
20.52,20.66,19.94,310,466,146,550.0,0,0,2,11/01/2021 11:54:19,0,20.373333333333335,307.3333333333333
20.43,20.68,19.91,310,466,146,550.0,0,0,2,11/01/2021 11:54:49,0,20.34,307.3333333333333
20.52,20.69,19.9,310,466,146,550.0,0,1,2,11/01/2021 11:55:20,1,20.37,307.3333333333333
20.49,20.64,19.96,310,466,148,555.0,1,1,2,11/01/2021 11:55:51,1,20.363333333333333,308.0
20.5,20.6,19.93,310,466,148,555.0,1,0,2,11/01/2021 11:56:21,1,20.343333333333334,308.0
20.47,20.73,19.92,310,466,148,555.0,1,1,2,11/01/2021 11:56:52,1,20.373333333333335,308.0
20.53,20.7,19.98,310,466,150,555.0,1,1,2,11/01/2021 11:57:22,1,20.403333333333336,308.6666666666667
20.52,20.67,19.97,310,464,148,560.0,1,1,1,11/01/2021 11:57:53,1,20.386666666666667,307.3333333333333
20.55,20.64,19.97,310,466,148,560.0,1,0,1,11/01/2021 11:58:24,1,20.386666666666667,308.0
20.48,20.69,19.99,310,466,148,560.0,1,0,2,11/01/2021 11:58:54,1,20.386666666666667,308.0
20.52,20.64,19.95,310,464,150,560.0,1,1,2,11/01/2021 11:59:25,1,20.37,308.0
20.56,20.74,19.94,310,464,150,565.0,1,1,2,11/01/2021 11:59:56,1,20.41333333333333,308.0
20.54,20.74,19.97,310,464,150,570.0,1,1,2,11/01/2021 12:00:26,1,20.416666666666668,308.0
20.53,20.68,19.93,302,464,150,570.0,1,1,2,11/01/2021 12:00:57,1,20.38,305.3333333333333
20.53,20.87,19.91,310,478,150,570.0,1,1,2,11/01/2021 12:01:28,1,20.436666666666667,312.6666666666667
20.54,21.28,19.95,312,486,150,580.0,1,1,2,11/01/2021 12:01:58,1,20.59,316.0
20.46,21.77,19.99,310,484,150,580.0,1,1,2,11/01/2021 12:02:29,1,20.74,314.6666666666667
20.48,21.76,19.96,310,484,150,585.0,1,1,2,11/01/2021 12:02:59,1,20.733333333333334,314.6666666666667
20.54,21.9,19.98,310,476,148,590.0,1,1,2,11/01/2021 12:03:30,1,20.80666666666667,311.3333333333333
20.55,21.86,20.02,310,486,146,585.0,1,1,2,11/01/2021 12:04:01,1,20.81,314.0
20.53,22.12,20.01,312,486,142,590.0,0,0,2,11/01/2021 12:04:31,0,20.88666666666667,313.3333333333333
20.48,22.18,19.9,312,486,148,590.0,0,0,2,11/01/2021 12:05:02,0,20.85333333333333,315.3333333333333
20.47,22.38,19.97,312,488,150,600.0,0,0,2,11/01/2021 12:05:33,0,20.939999999999998,316.6666666666667
20.55,22.45,19.98,314,488,150,600.0,0,0,2,11/01/2021 12:06:03,0,20.993333333333336,317.3333333333333
20.47,22.54,20.0,314,488,150,595.0,0,0,2,11/01/2021 12:06:34,0,21.003333333333334,317.3333333333333
20.54,22.65,19.99,312,488,150,605.0,1,0,2,11/01/2021 12:07:04,1,21.06,316.6666666666667
20.47,22.85,20.03,314,488,150,595.0,1,0,2,11/01/2021 12:07:35,1,21.116666666666667,317.3333333333333
20.48,22.62,19.97,314,488,154,595.0,0,0,2,11/01/2021 12:08:06,0,21.023333333333333,318.6666666666667
20.55,22.45,20.02,314,488,152,590.0,1,0,2,11/01/2021 12:08:36,1,21.006666666666664,318.0
20.54,22.34,20.0,312,488,150,590.0,1,0,2,11/01/2021 12:09:07,1,20.959999999999997,316.6666666666667
20.56,22.55,19.96,314,488,152,590.0,1,0,2,11/01/2021 12:09:38,1,21.023333333333333,318.0
20.55,22.37,19.99,314,488,154,590.0,1,0,2,11/01/2021 12:10:08,1,20.97,318.6666666666667
20.53,22.27,20.04,314,488,152,595.0,1,0,2,11/01/2021 12:10:39,1,20.946666666666665,318.0
20.54,22.25,20.0,314,488,152,595.0,1,0,2,11/01/2021 12:11:10,1,20.93,318.0
20.54,22.36,20.02,314,488,152,595.0,0,0,2,11/01/2021 12:11:40,0,20.973333333333333,318.0
20.57,22.36,20.06,314,488,154,600.0,1,0,2,11/01/2021 12:12:11,1,20.996666666666666,318.6666666666667
20.57,22.39,19.97,314,488,152,610.0,0,0,2,11/01/2021 12:12:41,0,20.976666666666667,318.0
20.62,22.3,19.97,314,488,156,605.0,0,0,2,11/01/2021 12:13:12,0,20.963333333333335,319.3333333333333
20.6,22.35,19.98,314,490,158,610.0,1,0,2,11/01/2021 12:13:43,1,20.97666666666667,320.6666666666667
20.59,22.53,19.97,312,488,158,615.0,1,0,2,11/01/2021 12:14:13,1,21.03,319.3333333333333
20.58,22.41,20.04,312,488,158,615.0,1,0,2,11/01/2021 12:14:44,1,21.009999999999998,319.3333333333333
20.63,22.47,20.04,314,488,158,620.0,0,0,2,11/01/2021 12:15:15,0,21.046666666666663,320.0
20.58,22.48,20.01,314,486,160,625.0,1,1,2,11/01/2021 12:15:45,1,21.023333333333337,320.0
20.62,22.51,20.02,312,488,160,630.0,1,1,2,11/01/2021 12:16:16,1,21.05,320.0
20.54,22.53,20.07,312,488,156,630.0,1,0,2,11/01/2021 12:16:47,1,21.046666666666667,318.6666666666667
20.54,22.53,20.04,314,488,158,630.0,1,0,2,11/01/2021 12:17:17,1,21.036666666666665,320.0
20.59,22.78,20.03,314,488,156,630.0,1,1,2,11/01/2021 12:17:48,1,21.133333333333336,319.3333333333333
20.56,22.92,20.06,312,482,154,625.0,0,1,2,11/01/2021 12:18:18,1,21.180000000000003,316.0
20.65,23.19,20.09,312,480,152,625.0,0,0,2,11/01/2021 12:18:49,0,21.310000000000002,314.6666666666667
20.61,23.11,20.04,312,488,154,630.0,0,1,2,11/01/2021 12:19:20,1,21.253333333333334,318.0
20.61,23.0,20.05,312,486,154,630.0,1,0,2,11/01/2021 12:19:50,1,21.22,317.3333333333333
20.62,22.86,20.06,312,480,158,625.0,1,1,2,11/01/2021 12:20:21,1,21.180000000000003,316.6666666666667
20.63,22.75,20.11,312,482,158,635.0,1,1,2,11/01/2021 12:20:52,1,21.16333333333333,317.3333333333333
20.68,22.7,20.09,310,478,158,635.0,1,1,2,11/01/2021 12:21:22,1,21.156666666666666,315.3333333333333
20.68,22.85,20.08,310,484,154,635.0,1,1,2,11/01/2021 12:21:53,1,21.203333333333333,316.0
20.57,22.98,20.08,312,486,156,630.0,1,1,2,11/01/2021 12:22:24,1,21.209999999999997,318.0
20.64,23.18,20.08,312,486,158,635.0,1,0,2,11/01/2021 12:22:54,1,21.3,318.6666666666667
20.62,23.11,20.07,314,488,160,635.0,1,0,2,11/01/2021 12:23:25,1,21.26666666666667,320.6666666666667
20.6,23.06,20.08,312,488,160,635.0,1,0,2,11/01/2021 12:23:55,1,21.246666666666666,320.0
20.6,23.12,20.08,310,486,160,635.0,1,0,2,11/01/2021 12:24:26,1,21.266666666666666,318.6666666666667
20.69,23.18,20.12,310,484,156,640.0,1,0,2,11/01/2021 12:24:57,1,21.330000000000002,316.6666666666667
20.66,23.04,20.05,310,484,154,645.0,0,0,2,11/01/2021 12:25:27,0,21.25,316.0
20.69,22.94,20.17,312,488,160,650.0,1,0,2,11/01/2021 12:25:58,1,21.26666666666667,320.0
20.64,23.08,20.11,312,488,162,645.0,1,0,2,11/01/2021 12:26:29,1,21.276666666666667,320.6666666666667
20.6,23.08,20.04,314,488,164,650.0,0,0,2,11/01/2021 12:27:30,0,21.24,322.0
20.64,23.24,20.06,312,486,162,640.0,0,0,2,11/01/2021 12:28:01,0,21.313333333333333,320.0
20.68,23.27,20.17,314,488,162,640.0,1,0,2,11/01/2021 12:28:31,1,21.373333333333335,321.3333333333333
20.6,23.36,20.04,314,488,160,645.0,1,0,2,11/01/2021 12:29:02,1,21.333333333333332,320.6666666666667
20.59,23.45,20.17,312,488,160,645.0,0,0,2,11/01/2021 12:29:32,0,21.403333333333336,320.0
20.61,23.45,20.11,312,488,160,640.0,0,0,2,11/01/2021 12:30:03,0,21.39,320.0
20.62,23.49,20.15,312,486,160,645.0,0,0,2,11/01/2021 12:30:34,0,21.419999999999998,319.3333333333333
20.61,23.37,20.19,310,484,158,640.0,0,0,2,11/01/2021 12:31:04,0,21.39,317.3333333333333
20.68,23.31,20.17,310,484,156,645.0,0,0,2,11/01/2021 12:31:35,0,21.386666666666667,316.6666666666667
20.6,23.19,20.1,312,484,158,645.0,0,0,2,11/01/2021 12:32:06,0,21.29666666666667,318.0
20.67,23.39,20.13,312,488,162,640.0,1,0,2,11/01/2021 12:32:36,1,21.396666666666665,320.6666666666667
20.69,23.33,20.14,312,486,160,640.0,1,0,2,11/01/2021 12:33:07,1,21.386666666666667,319.3333333333333
20.65,23.31,20.17,310,484,380,645.0,1,0,2,11/01/2021 12:33:38,1,21.376666666666665,391.3333333333333
20.65,23.35,20.13,312,488,380,645.0,1,1,3,11/01/2021 12:34:08,1,21.376666666666665,393.3333333333333
20.65,23.51,20.16,316,490,410,650.0,1,1,3,11/01/2021 12:34:39,1,21.439999999999998,405.3333333333333
20.75,23.56,20.2,318,492,428,645.0,1,1,3,11/01/2021 12:35:09,1,21.503333333333334,412.6666666666667
20.7,23.55,20.21,318,492,440,655.0,1,1,3,11/01/2021 12:35:40,1,21.486666666666668,416.6666666666667
20.73,23.48,20.28,318,488,448,655.0,1,1,3,11/01/2021 12:36:11,1,21.49666666666667,418.0
20.69,23.44,20.22,318,494,448,660.0,1,1,3,11/01/2021 12:36:41,1,21.45,420.0
20.7,23.24,20.3,316,488,444,660.0,1,1,3,11/01/2021 12:37:12,1,21.41333333333333,416.0
20.68,23.5,20.21,316,488,434,655.0,1,1,3,11/01/2021 12:37:43,1,21.463333333333335,412.6666666666667
20.72,23.66,20.26,318,490,434,660.0,1,1,2,11/01/2021 12:38:13,1,21.546666666666667,414.0
20.65,23.6,20.21,318,490,432,665.0,1,0,2,11/01/2021 12:38:44,1,21.486666666666668,413.3333333333333
20.7,23.57,20.28,320,488,432,665.0,1,1,2,11/01/2021 12:39:14,1,21.516666666666666,413.3333333333333
20.79,23.73,20.21,320,488,446,670.0,1,1,3,11/01/2021 12:39:45,1,21.576666666666664,418.0
20.77,23.66,20.31,320,488,450,680.0,1,1,3,11/01/2021 12:40:16,1,21.58,419.3333333333333
20.81,23.86,20.26,320,488,448,675.0,1,1,3,11/01/2021 12:40:46,1,21.643333333333334,418.6666666666667
20.71,23.72,20.31,320,488,448,675.0,1,1,3,11/01/2021 12:41:17,1,21.58,418.6666666666667
20.71,23.71,20.31,320,486,430,675.0,1,1,3,11/01/2021 12:41:48,1,21.576666666666668,412.0
20.77,23.93,20.33,320,486,446,675.0,1,1,3,11/01/2021 12:42:18,1,21.676666666666666,417.3333333333333
20.8,23.85,20.24,320,486,444,685.0,1,1,3,11/01/2021 12:42:49,1,21.63,416.6666666666667
20.77,23.89,20.32,318,486,444,690.0,1,1,3,11/01/2021 12:43:20,1,21.659999999999997,416.0
20.79,23.92,20.34,318,486,448,690.0,1,1,3,11/01/2021 12:43:50,1,21.683333333333334,417.3333333333333
20.8,23.85,20.32,320,488,446,695.0,1,1,3,11/01/2021 12:44:21,1,21.656666666666666,418.0
20.72,23.89,20.32,320,488,446,695.0,1,1,3,11/01/2021 12:44:51,1,21.643333333333334,418.0
20.8,24.0,20.32,320,486,442,700.0,1,0,3,11/01/2021 12:45:22,1,21.706666666666667,416.0
20.74,23.85,20.34,318,492,442,695.0,1,1,3,11/01/2021 12:45:53,1,21.643333333333334,417.3333333333333
20.78,23.72,20.3,320,494,442,695.0,1,1,3,11/01/2021 12:46:23,1,21.599999999999998,418.6666666666667
20.94,23.14,20.43,326,498,458,810.0,1,1,3,11/01/2021 13:11:55,1,21.50333333333333,427.3333333333333
20.93,23.11,20.48,328,498,458,810.0,1,1,3,11/01/2021 13:12:26,1,21.506666666666664,428.0
20.87,23.08,20.41,326,498,456,810.0,1,1,3,11/01/2021 13:12:56,1,21.453333333333333,426.6666666666667
20.93,22.99,20.42,326,498,458,815.0,1,1,3,11/01/2021 13:13:27,1,21.44666666666667,427.3333333333333
20.89,23.11,20.4,326,496,458,815.0,1,1,3,11/01/2021 13:13:58,1,21.46666666666667,426.6666666666667
20.9,23.22,20.41,326,494,456,815.0,1,1,3,11/01/2021 13:14:28,1,21.51,425.3333333333333
20.93,23.2,20.45,324,494,456,815.0,1,1,3,11/01/2021 13:14:59,1,21.526666666666667,424.6666666666667
20.89,23.35,20.47,324,496,456,820.0,0,1,3,11/01/2021 13:15:30,1,21.570000000000004,425.3333333333333
20.87,23.12,20.45,324,494,456,835.0,1,0,3,11/01/2021 13:16:00,1,21.48,424.6666666666667
20.89,23.1,20.53,324,494,454,840.0,1,1,3,11/01/2021 13:16:31,1,21.50666666666667,424.0
20.85,23.23,20.5,324,498,454,840.0,1,1,3,11/01/2021 13:17:01,1,21.526666666666667,425.3333333333333
20.89,23.35,20.54,322,498,456,845.0,1,1,3,11/01/2021 13:17:32,1,21.593333333333334,425.3333333333333
20.86,23.17,20.55,324,498,456,845.0,1,1,3,11/01/2021 13:18:03,1,21.526666666666667,426.0
20.84,23.19,20.5,326,498,456,845.0,1,1,3,11/01/2021 13:18:33,1,21.51,426.6666666666667
20.84,23.06,20.55,324,492,454,845.0,1,0,3,11/01/2021 13:19:04,1,21.483333333333334,423.3333333333333
20.94,23.17,20.59,324,498,452,840.0,1,1,3,11/01/2021 13:19:35,1,21.566666666666666,424.6666666666667
20.85,23.0,20.62,326,500,452,840.0,1,1,3,11/01/2021 13:20:05,1,21.49,426.0
20.88,22.93,20.59,326,504,454,845.0,0,0,3,11/01/2021 13:20:36,0,21.46666666666667,428.0
21.0,22.9,20.54,328,502,456,850.0,1,1,3,11/01/2021 13:21:07,1,21.48,428.6666666666667
20.85,22.95,20.68,326,504,442,855.0,1,1,3,11/01/2021 13:21:37,1,21.49333333333333,424.0
20.91,22.91,20.64,328,504,450,850.0,1,1,3,11/01/2021 13:22:08,1,21.486666666666668,427.3333333333333
20.87,22.85,20.65,326,494,538,850.0,1,1,3,11/01/2021 13:23:09,1,21.456666666666667,452.6666666666667
20.92,22.71,20.63,326,498,534,845.0,0,1,3,11/01/2021 13:23:40,1,21.42,452.6666666666667
20.86,22.76,20.62,326,496,534,845.0,1,1,3,11/01/2021 13:24:10,1,21.413333333333338,452.0
20.85,22.74,20.67,326,502,532,850.0,1,1,3,11/01/2021 13:24:41,1,21.42,453.3333333333333
20.91,22.74,20.68,328,502,534,855.0,1,1,3,11/01/2021 13:25:12,1,21.44333333333333,454.6666666666667
20.97,22.7,20.65,326,504,534,855.0,1,1,3,11/01/2021 13:25:42,1,21.439999999999998,454.6666666666667
20.92,22.7,20.62,328,504,540,860.0,1,1,3,11/01/2021 13:26:13,1,21.413333333333338,457.3333333333333
20.93,22.88,20.71,328,506,522,855.0,0,1,3,11/01/2021 13:26:44,1,21.50666666666667,452.0
